"ID","Sex","Marital.status","Age","Education","Income","Occupation","Settlement.size"
37472,0,0,25,0,92058,1,2
25920,1,0,39,1,125543,1,0
81383,1,1,27,1,110064,1,2
51367,1,0,24,1,104291,1,0
22122,0,0,75,2,213333,2,1
55257,1,1,23,1,166763,1,1
10124,0,1,27,1,96323,1,0
85763,1,1,59,2,184753,1,1
69456,0,0,27,0,236264,1,1
17039,1,0,33,1,103696,1,1
65628,1,1,32,1,94058,0,0
53401,0,0,53,1,124902,1,0
8268,0,1,33,1,144701,1,1
85489,0,0,60,2,129425,1,1
52800,1,1,49,2,110291,1,2
23083,1,1,28,1,123497,1,0
97054,1,0,48,2,118749,0,0
30104,1,1,20,1,127928,1,2
64984,0,0,37,1,111394,1,1
16111,1,1,27,1,100008,1,0
19169,0,0,57,2,87605,0,0
86293,1,1,24,1,127250,1,0
37612,1,1,23,1,129112,1,0
817,0,0,32,0,155012,1,1
27748,1,1,19,1,111187,0,0
92667,1,1,36,1,75536,0,0
53882,1,1,46,2,143489,1,1
72375,0,0,29,0,149249,1,2
14441,0,0,57,2,281647,2,1
74058,1,1,33,1,133561,1,1
10101,0,0,44,1,144900,1,1
81691,1,1,29,1,75161,0,0
46502,0,0,51,1,124183,0,0
21483,0,1,27,1,100392,1,0
85264,1,1,34,1,125843,0,0
61754,1,1,46,2,113399,0,0
92889,1,1,35,1,138387,2,1
86469,0,1,18,1,98992,1,1
94075,0,0,26,0,117221,1,1
23900,0,1,47,2,132145,1,1
29604,0,0,33,1,82414,0,0
81257,1,1,26,1,87400,0,0
53834,0,0,36,1,135302,1,2
61632,1,0,49,1,102463,0,0
79808,1,0,30,0,106696,1,0
12989,0,0,33,1,116261,1,2
46381,0,1,21,1,158683,1,1
74693,0,1,33,1,125535,1,2
58195,0,0,36,1,128702,1,2
9241,0,0,68,2,179151,1,2
8722,0,0,56,2,126906,1,1
83380,1,1,29,1,102250,1,0
70085,0,1,22,1,132796,1,0
67407,1,1,33,1,133542,1,0
77378,0,0,35,1,97290,1,0
71889,1,0,40,1,67619,0,0
73087,0,0,23,0,70783,0,0
48904,0,0,30,1,154003,0,1
46656,0,0,37,1,170146,2,0
76826,0,0,36,1,169617,2,1
89864,1,1,29,1,133783,2,1
3787,0,1,27,1,123213,1,2
16415,0,0,35,1,110181,0,2
40109,1,1,28,1,138952,1,1
7651,0,0,37,1,106978,1,2
33291,0,1,33,3,166712,1,2
97383,0,0,44,1,141493,1,2
27070,1,1,37,1,129027,0,0
33833,0,0,27,0,255198,2,2
48963,1,1,34,1,126334,1,0
40236,0,0,57,2,135830,1,1
68152,1,1,29,1,128234,1,2
10736,0,0,54,1,116604,1,1
98981,0,0,36,1,177171,2,2
38447,0,0,29,0,144884,2,2
81363,1,1,24,1,101157,1,1
49123,0,0,54,1,124725,1,0
72590,1,1,31,1,80189,0,0
70146,0,0,45,1,190803,2,2
21337,1,0,29,0,80852,0,0
10894,0,0,37,1,93740,0,0
51139,1,1,34,1,127255,1,0
83242,1,1,22,1,120233,1,0
15722,1,1,26,1,125880,1,0
77001,0,0,31,0,133574,2,1
32199,1,0,42,1,69114,0,0
63094,1,1,22,1,150773,1,2
51240,1,1,39,2,106461,1,0
25555,0,0,54,1,165230,1,2
75197,0,0,32,0,161379,1,2
62783,1,1,20,1,91177,0,0
40386,1,1,22,1,68165,0,0
52939,1,1,33,1,104276,1,2
25215,0,0,29,0,176292,2,1
45217,0,0,31,0,113757,1,0
77143,1,1,25,1,94905,1,0
16601,1,0,27,1,97192,1,0
2242,0,0,38,1,117405,1,1
73905,0,1,26,1,96716,1,2
98882,1,1,27,1,54041,0,0
78675,1,1,25,1,61907,0,0
33727,1,1,20,1,88141,0,0
56719,0,0,45,1,171565,1,1
86477,1,0,37,1,107539,1,1
57998,0,1,49,2,144461,1,2
78646,0,0,25,0,60868,0,0
17242,1,1,26,1,102543,1,1
88570,0,0,40,1,99723,0,0
12892,1,1,19,1,99119,1,0
79756,0,0,40,1,143723,2,1
51223,0,0,43,1,119351,1,2
90980,0,0,24,0,70400,0,0
67137,0,0,38,1,151312,2,1
56990,0,1,26,1,103667,1,2
50222,0,0,35,1,113468,0,0
91581,0,0,42,1,81606,0,0
48581,0,0,73,2,214732,2,1
50695,1,1,24,1,65707,0,0
68116,0,0,32,0,100426,1,2
57864,0,0,37,1,102733,1,1
13181,0,0,35,1,86492,0,0
96018,1,1,23,1,152267,2,1
82392,1,1,51,2,127825,1,0
68401,0,0,38,1,82398,1,1
48236,1,1,29,1,99012,1,0
81439,1,1,33,1,106741,0,0
84074,1,0,30,1,139468,1,1
32605,0,1,60,2,212020,2,0
15370,1,0,39,1,96614,0,0
58724,0,0,37,1,127676,1,1
13629,0,0,29,0,133436,1,1
11885,1,1,55,2,171804,2,2
87464,1,1,46,2,192561,2,1
8423,1,1,24,1,110137,1,1
92338,1,1,24,1,100733,1,0
73853,0,0,39,1,151697,0,0
7113,0,1,32,1,155540,2,1
97964,0,0,72,2,224961,2,2
15000,0,0,26,0,115451,1,0
28534,0,1,26,1,118820,1,1
78700,0,0,34,1,180617,2,2
64916,0,0,53,1,158193,1,1
94366,0,0,38,1,152864,1,2
96861,1,0,31,1,143321,2,1
81210,0,0,60,2,136671,1,1
55411,1,1,25,1,100794,1,2
92626,0,0,31,0,130973,1,2
80140,0,1,31,1,81987,0,0
80718,1,0,47,1,110287,1,0
19441,0,0,27,0,73265,0,0
18403,0,1,26,1,120389,1,1
88133,1,1,29,1,88669,0,0
96542,0,0,45,1,136129,1,1
7905,0,0,53,1,121970,0,0
25432,0,0,37,1,106215,1,0
67574,0,1,20,1,93634,1,0
42767,1,1,61,2,135070,1,1
28503,0,0,54,1,111274,1,1
43491,0,1,35,1,154585,2,2
84863,0,0,45,1,78253,0,0
86215,1,1,33,1,155569,2,1
18629,1,1,30,1,121327,1,0
20995,0,0,39,1,93567,0,0
53236,1,1,23,1,103244,1,0
83725,1,1,37,1,78840,0,0
47513,1,1,56,2,132752,1,0
18798,0,1,24,1,81210,0,0
9022,0,1,54,2,113024,1,1
43689,0,0,55,1,157940,1,2
79256,0,0,48,1,130082,1,2
63139,0,1,26,1,94650,0,2
45296,1,0,42,2,113190,0,0
2805,1,1,34,1,147626,2,2
763,0,0,36,1,119804,1,1
21710,0,1,50,2,135376,1,1
9449,1,1,57,2,187835,1,1
37560,0,0,27,0,118499,1,1
54729,1,1,22,1,119511,1,2
59935,1,1,32,3,171052,2,2
76827,0,0,35,1,118288,1,2
18361,0,0,31,0,98102,1,0
99908,0,1,49,2,84267,0,0
88809,1,0,25,1,93526,0,0
29906,1,0,41,1,78963,0,0
89973,1,1,46,2,153880,1,0
65087,0,1,28,1,94518,1,0
70913,1,1,59,2,162591,1,1
95206,0,0,54,1,132367,1,2
41642,0,1,28,1,69046,0,0
66563,1,1,55,2,172639,2,2
19988,0,0,31,0,132950,1,2
76054,1,1,42,2,199654,1,2
34020,1,1,26,1,223185,2,1
14019,0,0,35,1,102839,0,0
21544,1,1,21,1,93916,1,2
30143,1,1,58,2,87058,0,0
23008,0,0,40,1,104240,0,0
97978,0,0,39,1,112347,1,2
72523,0,1,29,1,115988,1,2
17386,1,1,27,1,93605,0,0
87869,0,0,30,0,140665,1,1
94391,0,0,31,0,171857,0,0
62155,0,0,32,0,120354,1,0
69535,0,0,52,1,159716,1,2
45808,0,0,68,2,135705,1,1
52561,0,0,33,1,139547,1,2
14776,0,0,35,1,105556,0,0
39390,1,1,32,1,139112,1,1
30688,0,0,39,1,116137,0,1
97035,0,1,31,1,87630,0,0
69964,1,1,43,2,126449,0,0
29891,0,1,23,1,66804,0,0
28060,1,1,23,1,70569,0,0
81587,1,1,23,1,107406,1,2
60801,0,0,42,1,78327,0,0
35705,0,1,24,1,129162,1,2
6056,0,0,22,0,99328,1,0
47514,1,1,27,1,85294,0,0
30967,0,1,26,1,71310,0,0
46996,1,1,37,1,137069,1,1
83150,1,1,38,2,135534,1,2
5601,0,0,37,1,268906,2,1
93249,1,1,36,1,104189,1,0
42634,1,1,33,1,81807,0,0
26268,1,1,27,1,87777,0,0
3733,1,1,20,1,154134,1,2
32417,1,1,31,1,106115,1,0
86829,1,1,28,1,129327,1,0
70492,1,1,44,2,108251,0,0
8275,0,0,26,0,153586,2,2
83254,0,0,23,0,101210,1,1
3323,0,1,42,1,176646,1,1
8512,1,1,65,3,145174,1,2
5438,1,1,22,1,85974,0,0
86221,0,1,40,1,75043,0,0
11856,1,1,26,1,96082,0,0
12223,0,0,48,1,142345,1,2
63375,1,1,29,1,94325,0,0
10160,1,1,23,1,138967,1,0
96127,1,1,44,2,77887,0,0
91172,1,1,21,1,126009,1,0
52579,0,0,36,1,116027,1,0
1436,1,1,24,1,176714,1,2
20822,1,1,29,1,162955,1,2
1958,0,0,32,0,111418,1,1
92118,0,0,49,1,127543,1,1
28874,0,0,35,1,123109,1,1
76828,0,1,20,1,101688,1,0
22920,0,0,42,1,133373,1,2
69307,1,1,56,2,166264,2,2
52744,0,0,51,1,172790,1,1
97055,1,0,38,1,92392,0,0
90703,1,0,34,1,120863,1,0
48527,1,1,36,1,135383,1,1
19526,0,0,63,2,128469,1,2
55890,0,0,35,1,141270,1,2
66141,0,1,27,1,89908,0,0
28703,1,1,25,1,104794,0,0
10940,0,0,41,1,162772,1,2
10234,1,1,24,1,87964,0,0
4301,1,1,27,1,123279,1,1
12590,0,1,26,1,177215,1,2
66472,0,0,30,0,112151,1,1
59519,1,1,23,1,153861,1,1
88194,0,0,33,1,151421,1,2
78343,0,0,39,1,91019,2,1
3736,0,1,38,1,130951,1,2
22682,0,0,42,1,77317,0,0
61564,1,1,46,2,160678,1,2
87499,0,0,33,1,81083,0,0
95915,1,1,52,2,95551,0,0
37566,0,0,57,2,281084,2,1
71596,1,1,27,1,115026,1,0
4459,0,0,39,1,93554,0,0
52070,1,0,49,1,97791,0,0
35099,1,1,26,1,70649,0,0
86160,0,0,47,1,131842,1,1
24258,0,0,23,0,96060,1,0
85224,1,1,22,1,59955,0,0
61375,1,1,30,1,178947,2,2
1581,0,0,32,0,141116,1,1
56379,1,0,24,1,107462,0,0
96551,1,1,31,1,95911,1,0
62471,0,0,38,1,136871,0,1
1345,1,1,30,1,189896,2,0
40563,0,1,27,1,67136,0,0
49520,0,1,27,1,63597,0,0
15778,1,1,26,1,107908,1,0
10425,1,0,34,1,114767,1,0
6135,1,1,29,1,111069,1,0
37800,0,0,26,0,126706,1,2
25064,1,1,57,2,155062,1,2
49284,0,0,63,2,273063,2,2
90149,0,0,38,1,104128,1,0
50653,0,0,29,0,230883,2,2
28981,0,0,74,2,192481,2,1
53846,1,1,34,1,149356,1,2
49287,1,1,23,1,64952,0,0
40028,1,1,29,1,145946,2,2
53023,1,0,31,0,99800,1,0
74348,0,0,37,1,105055,1,2
75124,1,0,42,1,78979,0,0
56892,0,0,51,1,155551,1,1
37325,1,1,33,1,42516,0,0
17755,0,0,35,1,127849,1,1
29712,0,0,31,0,82238,0,0
51680,1,1,54,2,56622,0,0
58119,1,1,25,1,121789,1,1
5065,1,1,26,1,69831,0,0
76922,0,1,26,1,171860,2,0
30689,1,1,32,1,99703,0,0
20208,0,0,54,1,118408,1,2
40560,0,1,61,2,175740,1,1
52049,1,1,26,1,108864,1,1
40938,0,0,52,1,108365,1,2
30773,1,1,34,1,97613,1,1
47875,1,0,35,1,68731,0,0
40372,1,1,24,1,102425,0,0
5981,0,0,38,1,106552,1,2
57340,1,1,26,1,51681,0,0
66843,0,1,31,1,81394,0,0
71971,0,0,70,2,224998,2,2
52482,1,1,44,2,143343,1,1
45562,0,0,46,1,148226,1,2
24806,1,1,21,1,92351,1,0
66107,0,1,66,2,152527,1,1
45203,0,0,48,1,94868,0,0
51093,0,0,38,1,124554,0,1
81068,0,0,40,1,134946,2,2
56497,0,1,25,1,68222,0,0
95148,0,1,24,1,118101,0,2
90640,0,0,24,0,65917,0,0
40452,0,0,39,1,81483,0,0
93932,0,0,36,1,118277,1,1
18486,1,1,32,1,88428,0,0
19122,0,0,36,1,118656,1,1
12820,0,0,29,0,109467,1,0
9067,1,1,24,1,65852,0,0
68731,1,1,28,1,122973,0,0
9356,1,0,48,2,109196,0,0
89758,0,1,27,1,65815,0,0
39490,0,1,25,1,149851,1,2
55693,0,1,23,1,105137,1,1
85385,0,0,42,1,223018,2,1
91187,1,1,23,1,65421,0,0
84474,0,0,35,1,182822,2,2
86455,1,1,40,1,70431,0,0
93828,1,1,37,1,116021,1,2
58755,0,1,40,1,78436,0,0
62463,0,0,60,2,89374,0,0
55305,1,1,39,1,81973,0,0
11978,1,1,43,2,85402,0,0
48098,0,0,74,2,122133,0,0
13556,0,0,34,1,75343,0,0
11620,0,0,29,0,117272,1,2
77912,0,1,26,1,97932,2,2
36438,1,1,25,1,108469,1,0
46265,1,1,48,2,101616,0,0
40962,1,0,35,1,86319,0,0
18589,0,1,43,2,145313,1,1
47087,1,1,28,1,95784,1,0
73935,0,0,49,1,121592,1,1
61749,1,1,32,1,108032,1,0
66533,1,1,24,1,97968,0,0
79583,0,0,26,0,60026,0,0
92654,0,0,34,1,147958,2,1
43924,0,0,42,1,159745,2,2
8900,1,1,23,1,113413,1,0
67531,0,0,30,0,154854,2,1
79054,1,0,40,1,95228,0,0
13351,0,1,44,2,160650,2,1
54615,0,1,37,1,152308,1,2
79160,1,1,65,3,69487,0,0
73867,0,0,40,1,115831,0,2
44983,0,0,28,0,141847,1,1
31790,1,1,25,1,113118,1,0
71553,1,1,63,2,134853,1,1
38629,1,1,24,1,62249,0,0
73613,1,1,26,1,97856,1,0
92226,0,0,36,1,102180,1,2
6613,0,0,24,0,96425,1,1
92246,1,1,36,1,135896,2,1
27267,1,0,40,1,82673,0,0
31888,0,0,32,0,148566,2,2
58316,0,1,35,1,157272,2,1
95419,0,1,29,1,106434,1,1
82221,0,0,31,0,69571,0,0
98719,0,0,21,0,227021,1,1
93503,0,0,31,0,144657,1,1
25844,1,0,66,3,131001,1,0
48445,0,0,64,2,130492,1,2
51128,1,1,45,2,85115,0,0
72193,0,0,44,1,133265,1,2
97954,1,1,30,1,165147,1,0
52508,1,1,28,1,133616,1,1
89574,1,1,32,1,120525,1,0
98484,0,1,47,2,149545,1,1
52585,1,1,31,1,118594,1,1
1091,1,1,35,1,107408,1,1
72285,0,0,30,0,149022,2,2
37435,0,0,46,1,103387,1,1
75946,0,0,30,0,250050,2,1
67745,1,1,22,1,66720,0,0
43944,1,0,33,1,71935,0,0
69840,0,0,34,1,87355,0,0
56001,0,1,53,2,159559,2,2
57793,0,0,42,1,126586,1,1
84420,0,1,29,1,103767,2,1
61565,0,0,23,0,167076,0,2
39112,0,0,35,1,172957,1,1
91459,0,1,62,2,152367,1,1
37744,0,0,36,1,124214,1,2
89071,0,0,32,0,114116,1,1
39012,0,1,40,1,71702,0,0
25532,0,0,32,0,69370,0,0
50524,0,1,26,1,68804,0,0
5907,1,1,23,1,70963,0,0
89894,1,1,25,1,109499,1,1
34131,0,0,24,0,66118,0,0
30996,0,1,20,1,95492,1,0
64144,0,0,58,2,124191,1,0
97041,0,1,29,1,154991,1,2
54077,1,1,40,2,86720,0,0
40353,1,1,23,1,96961,1,1
34528,1,1,23,1,101003,1,0
11840,0,0,34,1,102617,0,1
41505,1,1,24,1,94629,1,2
53690,1,1,26,1,97551,1,0
14663,0,1,20,1,98988,1,0
2130,0,0,24,0,123353,1,1
98634,0,0,41,1,114475,0,1
11728,1,0,50,1,93148,0,0
59619,0,0,48,1,94024,0,0
74774,0,0,27,0,131751,0,0
85382,1,1,22,1,109274,0,0
7257,0,0,65,2,117334,1,0
95877,0,0,58,1,149315,0,2
55043,1,1,34,1,110420,1,1
72800,0,0,40,1,140888,2,2
99144,1,1,36,1,85623,0,0
78141,1,1,47,2,161714,1,1
42227,0,0,33,1,87232,0,0
71932,0,1,24,1,129177,1,2
76268,0,1,47,2,110190,0,0
77901,1,1,39,1,97577,1,0
55657,1,1,66,3,133328,0,0
81695,1,1,30,1,116399,1,0
22193,0,0,27,0,70926,0,0
15767,0,0,24,0,164621,1,1
35397,0,0,35,1,144848,0,0
83597,0,0,26,0,99307,1,1
64007,0,0,65,2,84435,0,0
12647,0,1,52,2,137231,1,2
37686,0,0,41,1,134200,2,2
90180,0,1,34,1,175367,0,0
6510,0,0,31,0,137827,2,2
94464,1,1,28,1,178991,2,2
1465,0,0,36,1,115589,1,0
64,1,1,37,1,125359,0,0
11410,1,1,30,1,106577,1,1
43193,0,0,36,1,137342,2,2
78788,0,0,34,1,75626,0,0
61411,1,1,49,2,125665,1,1
19981,1,1,55,2,62393,0,0
76798,1,1,35,1,108272,1,1
34778,0,0,53,1,156495,1,1
79699,0,0,59,2,120160,1,0
64620,0,0,37,1,217450,1,1
61578,0,1,26,1,94134,1,0
55563,1,0,33,1,83429,0,0
28125,1,0,27,0,103787,1,0
4685,1,1,50,2,124777,1,1
70051,1,1,56,2,183765,1,1
84719,0,1,34,1,112777,1,0
58367,0,0,26,0,122693,1,0
29923,0,0,40,1,93183,0,0
61777,0,0,34,1,85685,0,0
53461,1,0,26,0,109250,1,0
58305,0,1,39,1,72385,0,0
23356,1,1,65,2,142193,0,1
5620,1,1,23,1,122850,1,0
32754,0,1,20,1,107270,1,2
82151,0,0,61,2,90709,0,0
61760,0,0,48,1,155708,1,1
5494,0,0,33,1,156794,1,1
50900,1,1,49,2,120207,1,0
18967,0,0,47,1,112227,2,1
82977,1,1,25,1,99583,1,1
71232,0,1,33,1,83687,0,0
38641,1,1,22,1,119684,1,2
81193,0,0,35,1,113878,1,2
9835,1,1,44,2,159246,1,2
9194,0,0,30,0,220050,2,2
11011,0,1,28,1,133582,1,0
21702,0,0,30,0,73401,0,0
91770,0,0,31,0,143385,1,2
68518,0,0,35,1,94554,1,1
50905,0,0,52,1,127609,0,1
4218,0,0,37,1,152401,2,1
39144,1,1,57,2,139641,0,0
62829,1,1,24,1,80962,0,0
85718,1,1,40,1,124001,0,0
74790,1,1,36,1,129304,0,0
12608,0,0,36,1,136689,2,2
67706,0,0,33,1,167939,2,1
99643,0,1,24,1,158421,1,0
99073,0,0,35,1,125387,1,2
45148,0,0,26,0,62027,0,0
31208,1,1,26,1,109063,1,0
14579,1,1,48,2,126154,0,0
66525,0,0,47,1,130344,1,2
21369,0,0,32,0,92257,1,2
51903,0,1,55,2,145781,1,2
99819,1,1,24,1,92498,1,0
61539,1,1,26,1,92385,0,0
68642,1,0,45,1,107387,1,0
78731,0,0,43,1,111563,1,0
86906,0,0,42,1,198029,2,2
52234,0,0,25,0,227385,1,2
75819,0,0,46,1,114254,1,1
10975,0,0,46,1,106576,1,1
21896,0,0,23,0,88260,0,0
58530,1,1,30,1,118642,1,0
84875,0,0,27,0,158147,1,2
73965,0,1,33,1,167763,1,1
54247,1,1,23,1,109700,1,0
16368,0,1,40,1,108278,1,1
4752,1,1,27,1,100644,1,0
34891,0,0,30,0,135894,1,2
33707,0,1,27,1,94947,1,0
48318,1,1,29,1,51496,0,0
94364,0,1,60,2,176372,1,1
50437,1,0,39,1,106037,1,1
18491,1,0,28,0,77206,0,0
18566,0,1,36,1,165340,1,1
96623,1,1,22,1,95712,1,1
55028,1,1,24,1,106629,1,2
77471,1,1,57,2,108945,0,0
91788,1,1,28,1,102697,1,0
67952,0,0,28,0,121432,0,2
33677,0,0,36,1,124445,1,2
7676,1,1,31,1,123257,1,0
86380,1,1,50,2,155122,1,2
86687,0,0,34,1,134794,1,2
51890,1,0,38,1,89309,0,0
27360,1,0,30,1,58207,0,0
99014,1,1,58,2,139229,0,1
69617,1,1,56,2,126531,1,1
46290,1,1,25,1,75184,0,0
85208,0,0,37,1,86967,0,0
34298,0,0,26,0,101270,1,0
85082,1,0,33,1,109489,1,0
70462,0,0,38,1,154339,1,2
7583,0,1,25,1,117641,1,2
50282,0,0,62,2,124723,1,2
42557,1,1,24,1,139896,1,2
7587,1,1,32,1,98573,1,0
22591,0,0,49,1,118571,2,2
7600,1,1,27,1,118613,1,1
13949,0,0,38,1,67110,0,0
74902,0,0,21,0,59127,0,0
15492,0,0,34,1,143979,2,2
10025,0,1,36,1,162521,1,2
63843,1,1,23,1,115681,1,1
98252,1,1,48,2,161116,1,1
95399,0,0,31,1,121852,0,1
74759,0,0,37,1,79594,0,0
19680,1,1,25,1,107321,1,0
34353,1,1,25,1,108522,1,0
30758,1,1,28,1,102899,1,1
91856,1,1,40,2,136812,1,2
48295,1,0,30,1,71167,0,0
64610,0,0,37,1,90418,0,0
85599,1,1,28,1,68389,0,0
11649,0,0,36,1,145385,2,1
5531,1,1,32,3,133235,1,2
33740,1,0,27,0,102531,1,0
47968,0,0,30,0,99066,1,2
81159,0,0,63,2,183178,1,1
95266,0,0,28,0,148363,1,0
54286,0,0,34,1,125187,1,1
90031,1,1,35,1,93495,0,0
45104,0,0,44,1,110009,1,2
7184,0,1,30,1,168763,2,1
36971,1,1,24,1,116473,0,0
67508,1,0,25,0,112924,1,0
24068,1,1,34,1,87801,0,0
32652,1,0,24,0,69419,0,0
26257,0,0,41,1,80232,0,0
41874,0,0,26,0,129864,1,1
86373,1,1,40,2,161194,1,1
85094,1,1,25,1,194461,2,2
21581,1,1,22,1,91359,1,1
85511,1,1,28,1,137188,1,1
79469,1,1,29,1,77532,0,0
34830,0,0,63,2,272314,2,2
24664,1,1,26,1,101783,1,2
58136,1,1,58,2,142335,0,1
54327,0,0,27,0,204723,1,2
88304,1,1,60,2,194532,2,1
19723,0,1,25,1,92366,1,2
90590,1,1,34,1,123089,1,0
25312,0,0,43,1,143734,1,1
67467,0,0,29,0,84531,0,0
47840,1,1,46,2,81200,0,0
11961,0,0,36,1,108432,0,0
70096,0,0,36,1,95438,1,2
9371,0,0,36,1,113405,2,2
90664,0,0,35,1,99401,1,0
88150,1,1,34,1,162180,2,0
9769,1,0,32,0,81907,0,0
33435,1,1,32,1,308491,2,1
92800,1,1,21,1,90656,1,1
33524,1,1,30,1,127299,1,1
36744,0,0,40,1,77720,0,0
24742,1,0,35,1,112723,1,0
40401,1,0,45,1,104754,0,0
68237,0,0,48,1,254449,2,1
28829,0,0,44,1,219319,1,0
36342,0,0,62,2,164816,2,1
14702,0,0,47,1,74511,0,0
19875,1,1,27,1,96952,1,0
25057,1,1,28,1,38980,0,0
54060,0,1,49,2,78296,0,0
47533,0,1,33,1,112227,1,0
54304,1,1,22,1,110835,0,0
59866,0,1,38,3,169324,2,2
41330,1,1,30,1,169102,1,1
71220,0,0,55,1,231992,2,2
92513,1,1,22,1,111600,1,0
94576,0,1,39,1,89097,0,0
52691,1,1,28,1,78322,0,0
26878,0,1,31,1,104406,1,1
20625,0,0,45,1,200298,1,1
81912,0,0,56,1,110605,1,1
14990,1,1,23,1,106043,1,0
78992,1,0,26,1,121377,1,0
1643,1,1,27,1,106625,0,0
55696,0,0,45,1,109329,0,0
10621,0,0,40,1,154031,2,1
9364,1,1,23,1,115240,0,0
33280,0,0,29,0,132852,1,0
93147,0,0,27,0,125190,2,1
87856,1,0,38,1,102855,1,1
78053,1,1,61,2,308529,2,2
71905,1,0,27,0,86462,0,0
20676,0,0,28,0,113212,1,0
13127,0,0,35,1,126054,0,0
336,0,0,46,1,130675,1,2
8005,1,1,30,1,108838,1,2
15073,1,0,25,1,85569,0,0
43880,0,0,50,1,122830,1,1
28970,0,0,36,1,150158,2,2
24560,0,1,36,1,123133,1,2
50965,0,0,53,1,177179,1,1
53734,0,0,66,2,178967,2,0
96059,1,1,61,2,97558,0,0
11398,0,0,41,1,120387,1,0
21652,1,1,42,2,218664,2,2
75564,1,1,23,1,61211,0,0
87564,0,0,32,0,126368,1,0
29992,0,0,44,1,126906,0,2
77451,1,0,35,1,84851,0,0
12793,0,0,33,1,98498,0,1
